Test log file
2025-08-28 13:22:58,117 - INFO - Initialization successful.
2025-08-28 13:22:58,117 - INFO - Camera now open.
2025-08-28 13:22:58,120 - INFO - Camera configuration has been adjusted!
2025-08-28 13:22:58,121 - INFO - Configuration successful!
2025-08-28 13:22:59,641 - INFO - Camera started
2025-08-28 13:22:59,689 - INFO - ['359.50', '-0.56', '-2.56', '359.50', '-0.56', '-2.56', '359.50', '-0.56', '-2.56', '21', '93', '48228', '55', '6412', '-3411', '0', '3', '0', '0', '']
2025-08-28 13:23:00,034 - INFO - ['359.44', '-0.88', '-2.56', '359.44', '-0.88', '-2.56', '359.44', '-0.88', '-2.56', '20', '94', '48228', '55', '6412', '-3411', '0', '3', '0', '0', '']
2025-08-28 13:23:00,382 - INFO - ['359.44', '-0.88', '-2.56', '359.44', '-0.88', '-2.56', '359.44', '-0.88', '-2.56', '20', '93', '48228', '34', '6412', '-3723', '0', '3', '0', '0', '']
2025-08-28 13:23:00,440 - INFO - ['359.44', '-0.88', '-2.56', '359.44', '-0.88', '-2.56', '359.44', '-0.88', '-2.56', '20', '93', '48228', '34', '6412', '-3797', '0', '3', '0', '0', '']
2025-08-28 13:23:00,499 - INFO - ['359.44', '-0.94', '-2.56', '359.44', '-0.94', '-2.56', '359.44', '-0.94', '-2.56', '20', '93', '48228', '34', '6412', '-3867', '0', '3', '0', '0', '']
2025-08-28 13:23:00,558 - INFO - ['359.44', '-1.00', '-2.56', '359.44', '-1.00', '-2.56', '359.44', '-1.00', '-2.56', '20', '93', '48228', '34', '6412', '-3936', '0', '3', '0', '0', '']
2025-08-28 13:23:00,614 - INFO - ['359.44', '-0.94', '-2.56', '359.44', '-0.94', '-2.56', '359.44', '-0.94', '-2.56', '20', '93', '48228', '34', '6412', '-4002', '0', '3', '0', '0', '']
2025-08-28 13:23:00,675 - INFO - ['359.44', '-0.94', '-2.56', '359.44', '-0.94', '-2.56', '359.44', '-0.94', '-2.56', '20', '93', '48228', '34', '6412', '-4068', '0', '3', '0', '0', '']
2025-08-28 13:23:00,732 - INFO - ['359.44', '-0.94', '-2.56', '359.44', '-0.94', '-2.56', '359.44', '-0.94', '-2.56', '20', '93', '48228', '34', '6412', '-4136', '0', '3', '0', '0', '']
2025-08-28 13:23:00,792 - INFO - ['359.44', '-0.94', '-2.50', '359.44', '-0.94', '-2.50', '359.44', '-0.94', '-2.50', '20', '65535', '48228', '34', '6412', '-4202', '0', '3', '0', '0', '']
2025-08-28 13:23:00,850 - INFO - ['359.50', '-0.94', '-2.50', '359.50', '-0.94', '-2.50', '359.50', '-0.94', '-2.50', '20', '255', '48228', '34', '6412', '-4272', '0', '3', '0', '0', '']
2025-08-28 13:23:00,908 - INFO - ['359.50', '-0.94', '-2.50', '359.50', '-0.94', '-2.50', '359.50', '-0.94', '-2.50', '20', '94', '48228', '34', '6412', '-4342', '0', '3', '0', '0', '']
2025-08-28 13:23:00,965 - INFO - ['359.44', '-1.00', '-2.50', '359.44', '-1.00', '-2.50', '359.44', '-1.00', '-2.50', '20', '94', '48228', '34', '6412', '-4412', '0', '3', '0', '0', '']
2025-08-28 13:23:01,025 - INFO - ['359.31', '-1.00', '-2.50', '359.31', '-1.00', '-2.50', '359.31', '-1.00', '-2.50', '20', '93', '48228', '34', '6412', '-4481', '0', '3', '0', '0', '']
2025-08-28 13:23:01,083 - INFO - ['359.25', '-1.00', '-2.50', '359.25', '-1.00', '-2.50', '359.25', '-1.00', '-2.50', '20', '93', '48228', '34', '6412', '-4550', '0', '3', '0', '0', '']
2025-08-28 13:23:01,143 - INFO - ['359.31', '-1.00', '-2.50', '359.31', '-1.00', '-2.50', '359.31', '-1.00', '-2.50', '20', '94', '48228', '34', '6412', '-4618', '0', '3', '0', '0', '']
2025-08-28 13:23:01,200 - INFO - ['359.38', '-1.00', '-2.50', '359.38', '-1.00', '-2.50', '359.38', '-1.00', '-2.50', '20', '94', '48228', '34', '6412', '-4684', '0', '3', '0', '0', '']
2025-08-28 13:23:01,259 - INFO - ['359.38', '-1.00', '-2.44', '359.38', '-1.00', '-2.44', '359.38', '-1.00', '-2.44', '19', '94', '48228', '34', '6412', '-4747', '0', '3', '0', '0', '']
