2025-08-28 15:37:55,291 - INFO - Camera configuration has been adjusted!
2025-08-28 15:37:55,292 - INFO - Configuration successful!
2025-08-28 15:37:56,814 - INFO - Camera started
2025-08-28 15:37:56,840 - INFO - ['18.31', '-4.00', '-2.13', '18.31', '-4.00', '-2.13', '18.31', '-4.00', '-2.13', '25', '115', '48228', '39', '6412', '150', '0', '3', '0', '0', '']
2025-08-28 15:37:57,182 - INFO - ['18.38', '-3.94', '-2.25', '18.38', '-3.94', '-2.25', '18.38', '-3.94', '-2.25', '25', '142', '48228', '40', '6412', '150', '0', '3', '0', '0', '']
2025-08-28 15:37:57,529 - INFO - ['18.31', '-3.94', '-2.19', '18.31', '-3.94', '-2.19', '18.31', '-3.94', '-2.19', '25', '184', '48228', '39', '6412', '150', '0', '3', '0', '0', '']
2025-08-28 15:37:57,636 - INFO - ['18.31', '-3.94', '-2.19', '18.31', '-3.94', '-2.19', '18.31', '-3.94', '-2.19', '25', '191', '48228', '39', '6412', '150', '0', '3', '0', '0', '']
2025-08-28 15:37:57,694 - INFO - ['18.31', '-3.94', '-2.19', '18.31', '-3.94', '-2.19', '18.31', '-3.94', '-2.19', '25', '185', '48228', '40', '6412', '150', '0', '3', '0', '0', '']
2025-08-28 15:37:57,753 - INFO - ['18.31', '-3.94', '-2.19', '18.31', '-3.94', '-2.19', '18.31', '-3.94', '-2.19', '25', '199', '48228', '39', '6412', '150', '0', '3', '0', '0', '']
2025-08-28 15:37:57,862 - INFO - ['18.31', '-3.94', '-2.19', '18.31', '-3.94', '-2.19', '18.31', '-3.94', '-2.19', '25', '184', '48228', '39', '6412', '150', '0', '3', '0', '0', '']
2025-08-28 15:37:57,968 - INFO - ['18.31', '-3.94', '-2.19', '18.31', '-3.94', '-2.19', '18.31', '-3.94', '-2.19', '25', '206', '48228', '39', '328', '150', '0', '3', '0', '0', '']
2025-08-28 15:37:58,073 - INFO - ['18.31', '-3.94', '-2.19', '18.31', '-3.94', '-2.19', '18.31', '-3.94', '-2.19', '25', '193', '48228', '39', '328', '150', '0', '3', '0', '0', '']
2025-08-28 15:37:58,132 - INFO - ['18.31', '-3.94', '-2.19', '18.31', '-3.94', '-2.19', '18.31', '-3.94', '-2.19', '25', '192', '48228', '40', '328', '150', '0', '3', '0', '0', '']
2025-08-28 15:37:58,191 - INFO - ['18.31', '-3.94', '-2.19', '18.31', '-3.94', '-2.19', '18.31', '-3.94', '-2.19', '25', '187', '48228', '40', '328', '150', '0', '3', '0', '0', '']
2025-08-28 15:37:58,249 - INFO - ['18.31', '-3.94', '-2.19', '18.31', '-3.94', '-2.19', '18.31', '-3.94', '-2.19', '26', '192', '48228', '39', '328', '150', '0', '3', '0', '0', '']
2025-08-28 15:37:58,311 - INFO - ['18.31', '-3.94', '-2.19', '18.31', '-3.94', '-2.19', '18.31', '-3.94', '-2.19', '25', '202', '48228', '39', '328', '150', '0', '3', '0', '0', '']
2025-08-28 15:37:58,366 - INFO - ['18.31', '-3.94', '-2.19', '18.31', '-3.94', '-2.19', '18.31', '-3.94', '-2.19', '25', '184', '48228', '39', '328', '150', '0', '3', '0', '0', '']
2025-08-28 15:37:58,426 - INFO - ['18.31', '-3.94', '-2.19', '18.31', '-3.94', '-2.19', '18.31', '-3.94', '-2.19', '24', '192', '48228', '40', '328', '150', '0', '3', '0', '0', '']
2025-08-28 15:37:58,485 - INFO - ['18.31', '-3.94', '-2.19', '18.31', '-3.94', '-2.19', '18.31', '-3.94', '-2.19', '24', '192', '48228', '40', '328', '150', '0', '3', '0', '0', '']
2025-08-28 15:37:58,544 - INFO - ['18.31', '-3.94', '-2.19', '18.31', '-3.94', '-2.19', '18.31', '-3.94', '-2.19', '25', '202', '48228', '40', '328', '150', '0', '3', '0', '0', '']
2025-08-28 15:37:58,603 - INFO - ['18.31', '-3.94', '-2.19', '18.31', '-3.94', '-2.19', '18.31', '-3.94', '-2.19', '25', '183', '48228', '39', '328', '150', '0', '3', '0', '0', '']
2025-08-28 15:37:58,662 - INFO - ['18.31', '-3.94', '-2.19', '18.31', '-3.94', '-2.19', '18.31', '-3.94', '-2.19', '25', '188', '48228', '39', '328', '150', '0', '3', '0', '0', '']
2025-08-28 15:37:58,720 - INFO - ['18.31', '-3.94', '-2.19', '18.31', '-3.94', '-2.19', '18.31', '-3.94', '-2.19', '25', '189', '48228', '39', '328', '150', '0', '3', '0', '0', '']
2025-08-28 15:37:58,779 - INFO - ['18.31', '-3.94', '-2.19', '18.31', '-3.94', '-2.19', '18.31', '-3.94', '-2.19', '25', '194', '48228', '39', '328', '150', '0', '3', '0', '0', '']
2025-08-28 15:37:58,837 - INFO - ['18.31', '-3.94', '-2.19', '18.31', '-3.94', '-2.19', '18.31', '-3.94', '-2.19', '25', '201', '48228', '40', '328', '150', '0', '3', '0', '0', '']
2025-08-28 15:37:58,897 - INFO - ['18.31', '-3.94', '-2.19', '18.31', '-3.94', '-2.19', '18.31', '-3.94', '-2.19', '24', '191', '48228', '39', '328', '150', '0', '3', '0', '0', '']
2025-08-28 15:37:58,956 - INFO - ['18.31', '-3.94', '-2.19', '18.31', '-3.94', '-2.19', '18.31', '-3.94', '-2.19', '25', '187', '48228', '39', '328', '150', '0', '3', '0', '0', '']
2025-08-28 15:37:59,014 - INFO - ['18.31', '-3.94', '-2.19', '18.31', '-3.94', '-2.19', '18.31', '-3.94', '-2.19', '25', '194', '48228', '39', '328', '150', '0', '3', '0', '0', '']
2025-08-28 15:37:59,073 - INFO - ['18.31', '-3.94', '-2.19', '18.31', '-3.94', '-2.19', '18.31', '-3.94', '-2.19', '25', '189', '48228', '40', '328', '150', '0', '3', '0', '0', '']
2025-08-28 15:37:59,132 - INFO - ['18.31', '-3.94', '-2.19', '18.31', '-3.94', '-2.19', '18.31', '-3.94', '-2.19', '26', '191', '48228', '40', '328', '150', '0', '3', '0', '0', '']
2025-08-28 15:37:59,239 - INFO - ['18.31', '-3.94', '-2.19', '18.31', '-3.94', '-2.19', '18.31', '-3.94', '-2.19', '24', '190', '48228', '39', '328', '150', '0', '3', '0', '0', '']
2025-08-28 15:37:59,347 - INFO - ['18.31', '-3.94', '-2.19', '18.31', '-3.94', '-2.19', '18.31', '-3.94', '-2.19', '25', '196', '48228', '39', '328', '150', '0', '3', '0', '0', '']
2025-08-28 15:37:59,452 - INFO - ['18.31', '-3.94', '-2.19', '18.31', '-3.94', '-2.19', '18.31', '-3.94', '-2.19', '25', '191', '48228', '39', '328', '150', '0', '3', '0', '0', '']
2025-08-28 15:37:59,511 - INFO - ['18.31', '-3.94', '-2.19', '18.31', '-3.94', '-2.19', '18.31', '-3.94', '-2.19', '25', '190', '48228', '39', '328', '150', '0', '3', '0', '0', '']
2025-08-28 15:37:59,618 - INFO - ['18.31', '-3.94', '-2.19', '18.31', '-3.94', '-2.19', '18.31', '-3.94', '-2.19', '25', '191', '48228', '39', '328', '150', '0', '3', '0', '0', '']
2025-08-28 15:37:59,678 - INFO - ['18.31', '-3.94', '-2.19', '18.31', '-3.94', '-2.19', '18.31', '-3.94', '-2.19', '25', '182', '48228', '39', '328', '150', '0', '3', '0', '0', '']
2025-08-28 15:37:59,737 - INFO - ['18.31', '-3.94', '-2.19', '18.31', '-3.94', '-2.19', '18.31', '-3.94', '-2.19', '25', '193', '48228', '39', '328', '150', '0', '3', '0', '0', '']
2025-08-28 15:37:59,795 - INFO - ['18.31', '-3.94', '-2.19', '18.31', '-3.94', '-2.19', '18.31', '-3.94', '-2.19', '25', '191', '48228', '39', '328', '150', '0', '3', '0', '0', '']
2025-08-28 15:37:59,853 - INFO - ['18.31', '-3.94', '-2.19', '18.31', '-3.94', '-2.19', '18.31', '-3.94', '-2.19', '25', '194', '48228', '39', '328', '150', '0', '3', '0', '0', '']
2025-08-28 15:37:59,912 - INFO - ['18.31', '-3.94', '-2.19', '18.31', '-3.94', '-2.19', '18.31', '-3.94', '-2.19', '25', '195', '48228', '39', '328', '150', '0', '3', '0', '0', '']
2025-08-28 15:37:59,971 - INFO - ['18.31', '-3.94', '-2.19', '18.31', '-3.94', '-2.19', '18.31', '-3.94', '-2.19', '25', '184', '48228', '40', '328', '150', '0', '3', '0', '0', '']
2025-08-28 15:38:00,030 - INFO - ['18.31', '-3.94', '-2.19', '18.31', '-3.94', '-2.19', '18.31', '-3.94', '-2.19', '25', '198', '48228', '40', '328', '150', '0', '3', '0', '0', '']
2025-08-28 15:38:00,091 - INFO - ['18.31', '-3.94', '-2.19', '18.31', '-3.94', '-2.19', '18.31', '-3.94', '-2.19', '25', '193', '48228', '39', '328', '150', '0', '3', '0', '0', '']
2025-08-28 15:38:00,150 - INFO - ['18.31', '-3.94', '-2.19', '18.31', '-3.94', '-2.19', '18.31', '-3.94', '-2.19', '25', '196', '48228', '39', '328', '150', '0', '3', '0', '0', '']
2025-08-28 15:38:00,207 - INFO - ['18.25', '-3.94', '-2.19', '18.25', '-3.94', '-2.19', '18.25', '-3.94', '-2.19', '25', '117', '48228', '39', '328', '150', '0', '3', '0', '0', '']
