2025-08-28 15:39:54,835 - INFO - Camera configuration has been adjusted!
2025-08-28 15:39:54,837 - INFO - Configuration successful!
2025-08-28 15:39:56,357 - INFO - Camera started
2025-08-28 15:39:56,373 - INFO - ['22.63', '-3.88', '-2.06', '22.63', '-3.88', '-2.06', '22.63', '-3.88', '-2.06', '141', '45', '48228', '44', '6412', '-618', '0', '3', '0', '0', '']
2025-08-28 15:39:56,715 - INFO - ['22.63', '-3.88', '-2.06', '22.63', '-3.88', '-2.06', '22.63', '-3.88', '-2.06', '141', '46', '48228', '45', '6412', '-618', '0', '3', '0', '0', '']
2025-08-28 15:39:56,969 - INFO - ['22.63', '-3.88', '-2.00', '22.63', '-3.88', '-2.00', '22.63', '-3.88', '-2.00', '142', '45', '48228', '45', '6412', '-618', '0', '3', '0', '0', '']
2025-08-28 15:39:57,119 - INFO - ['22.63', '-3.88', '-2.00', '22.63', '-3.88', '-2.00', '22.63', '-3.88', '-2.00', '137', '45', '48228', '45', '6412', '-618', '0', '3', '0', '0', '']
2025-08-28 15:39:57,225 - INFO - ['22.63', '-3.88', '-2.00', '22.63', '-3.88', '-2.00', '22.63', '-3.88', '-2.00', '138', '45', '48228', '45', '6412', '-618', '0', '3', '0', '0', '']
2025-08-28 15:39:57,328 - INFO - ['22.63', '-3.88', '-2.00', '22.63', '-3.88', '-2.00', '22.63', '-3.88', '-2.00', '137', '45', '48228', '45', '6412', '-618', '0', '3', '0', '0', '']
2025-08-28 15:39:57,387 - INFO - ['22.63', '-3.88', '-2.00', '22.63', '-3.88', '-2.00', '22.63', '-3.88', '-2.00', '137', '45', '48228', '44', '6412', '-618', '0', '3', '0', '0', '']
2025-08-28 15:39:57,446 - INFO - ['22.63', '-3.88', '-2.00', '22.63', '-3.88', '-2.00', '22.63', '-3.88', '-2.00', '137', '45', '48228', '44', '6412', '-618', '0', '3', '0', '0', '']
2025-08-28 15:39:57,505 - INFO - ['22.63', '-3.88', '-2.00', '22.63', '-3.88', '-2.00', '22.63', '-3.88', '-2.00', '137', '45', '48228', '44', '6412', '-618', '0', '3', '0', '0', '']
2025-08-28 15:39:57,564 - INFO - ['22.63', '-3.88', '-2.00', '22.63', '-3.88', '-2.00', '22.63', '-3.88', '-2.00', '137', '45', '48228', '44', '6412', '-618', '0', '3', '0', '0', '']
2025-08-28 15:39:57,620 - INFO - ['22.63', '-3.88', '-2.00', '22.63', '-3.88', '-2.00', '22.63', '-3.88', '-2.00', '137', '45', '48228', '44', '6412', '-618', '0', '3', '0', '0', '']
2025-08-28 15:39:57,679 - INFO - ['22.63', '-3.88', '-2.00', '22.63', '-3.88', '-2.00', '22.63', '-3.88', '-2.00', '137', '45', '48228', '45', '6412', '-618', '0', '3', '0', '0', '']
2025-08-28 15:39:57,738 - INFO - ['22.63', '-3.88', '-2.00', '22.63', '-3.88', '-2.00', '22.63', '-3.88', '-2.00', '137', '45', '48228', '44', '6412', '-618', '0', '3', '0', '0', '']
2025-08-28 15:39:57,797 - INFO - ['22.63', '-3.88', '-2.00', '22.63', '-3.88', '-2.00', '22.63', '-3.88', '-2.00', '137', '45', '48228', '45', '6412', '-618', '0', '3', '0', '0', '']
2025-08-28 15:39:57,856 - INFO - ['22.63', '-3.88', '-2.00', '22.63', '-3.88', '-2.00', '22.63', '-3.88', '-2.00', '137', '45', '48228', '45', '6412', '-618', '0', '3', '0', '0', '']
2025-08-28 15:39:57,914 - INFO - ['22.63', '-3.88', '-2.00', '22.63', '-3.88', '-2.00', '22.63', '-3.88', '-2.00', '137', '45', '48228', '45', '6412', '-618', '0', '3', '0', '0', '']
2025-08-28 15:39:57,972 - INFO - ['22.63', '-3.88', '-2.00', '22.63', '-3.88', '-2.00', '22.63', '-3.88', '-2.00', '138', '45', '48228', '44', '6412', '-618', '0', '3', '0', '0', '']
2025-08-28 15:39:58,034 - INFO - ['22.63', '-3.88', '-2.00', '22.63', '-3.88', '-2.00', '22.63', '-3.88', '-2.00', '137', '45', '48228', '44', '6412', '-618', '0', '3', '0', '0', '']
2025-08-28 15:39:58,088 - INFO - ['22.63', '-3.88', '-2.00', '22.63', '-3.88', '-2.00', '22.63', '-3.88', '-2.00', '137', '45', '48228', '45', '6412', '-618', '0', '3', '0', '0', '']
2025-08-28 15:39:58,193 - INFO - ['22.63', '-3.88', '-2.00', '22.63', '-3.88', '-2.00', '22.63', '-3.88', '-2.00', '137', '45', '48228', '44', '6412', '-618', '0', '3', '0', '0', '']
2025-08-28 15:39:58,252 - INFO - ['22.63', '-3.88', '-2.00', '22.63', '-3.88', '-2.00', '22.63', '-3.88', '-2.00', '137', '45', '48228', '44', '6412', '-618', '0', '3', '0', '0', '']
2025-08-28 15:39:58,312 - INFO - ['22.63', '-3.88', '-2.00', '22.63', '-3.88', '-2.00', '22.63', '-3.88', '-2.00', '137', '45', '48228', '44', '6412', '-618', '0', '3', '0', '0', '']
2025-08-28 15:39:58,369 - INFO - ['22.63', '-3.88', '-2.00', '22.63', '-3.88', '-2.00', '22.63', '-3.88', '-2.00', '137', '45', '48228', '45', '6412', '-618', '0', '3', '0', '0', '']
2025-08-28 15:39:58,427 - INFO - ['22.63', '-3.88', '-2.00', '22.63', '-3.88', '-2.00', '22.63', '-3.88', '-2.00', '137', '45', '48228', '45', '6412', '-618', '0', '3', '0', '0', '']
2025-08-28 15:39:58,533 - INFO - ['22.63', '-3.88', '-2.00', '22.63', '-3.88', '-2.00', '22.63', '-3.88', '-2.00', '137', '45', '48228', '45', '6412', '-618', '0', '3', '0', '0', '']
2025-08-28 15:39:58,589 - INFO - ['22.63', '-3.88', '-2.00', '22.63', '-3.88', '-2.00', '22.63', '-3.88', '-2.00', '137', '45', '48228', '44', '6412', '-618', '0', '3', '0', '0', '']
2025-08-28 15:39:58,646 - INFO - ['22.63', '-3.88', '-2.00', '22.63', '-3.88', '-2.00', '22.63', '-3.88', '-2.00', '136', '45', '48228', '44', '6412', '-618', '0', '3', '0', '0', '']
2025-08-28 15:39:58,707 - INFO - ['22.63', '-3.88', '-2.00', '22.63', '-3.88', '-2.00', '22.63', '-3.88', '-2.00', '137', '45', '48228', '44', '6412', '-618', '0', '3', '0', '0', '']
2025-08-28 15:39:58,764 - INFO - ['22.63', '-3.88', '-2.00', '22.63', '-3.88', '-2.00', '22.63', '-3.88', '-2.00', '137', '45', '48228', '44', '6412', '-618', '0', '3', '0', '0', '']
2025-08-28 15:39:58,825 - INFO - ['22.63', '-3.88', '-2.00', '22.63', '-3.88', '-2.00', '22.63', '-3.88', '-2.00', '137', '45', '48228', '45', '6412', '-618', '0', '3', '0', '0', '']
2025-08-28 15:39:58,926 - INFO - ['22.63', '-3.88', '-2.00', '22.63', '-3.88', '-2.00', '22.63', '-3.88', '-2.00', '137', '45', '48228', '44', '6412', '-618', '0', '3', '0', '0', '']
2025-08-28 15:39:59,032 - INFO - ['22.56', '-3.88', '-2.00', '22.56', '-3.88', '-2.00', '22.56', '-3.88', '-2.00', '138', '45', '48228', '45', '6412', '-618', '0', '3', '0', '0', '']
2025-08-28 15:39:59,138 - INFO - ['22.44', '-3.88', '-2.06', '22.44', '-3.88', '-2.06', '22.44', '-3.88', '-2.06', '141', '45', '48228', '45', '6412', '-618', '0', '3', '0', '0', '']
2025-08-28 15:39:59,243 - INFO - ['22.25', '-3.88', '-2.06', '22.25', '-3.88', '-2.06', '22.25', '-3.88', '-2.06', '139', '45', '48228', '44', '6412', '-630', '0', '3', '0', '0', '']
